converted_country_name,event_gender,medal_type,medal_count
Mozambique,Women,GOLD,1
Mozambique,Women,BRONZE,1
Morocco,Women,SILVER,1
Morocco,Women,GOLD,1
Japan,Open,SILVER,1
Singapore,Women,SILVER,1
Japan,Mixed,GOLD,1
Sri Lanka,Men,SILVER,1
Sudan,Men,SILVER,1
Suriname,Men,BRONZE,1
Suriname,Men,GOLD,1
Hong Kong,Women,GOLD,1
Hong Kong,Men,SILVER,1
Sweden,Mixed,SILVER,1
Hong Kong,Men,GOLD,1
Haiti,Men,SILVER,1
Haiti,Men,BRONZE,1
Guyana,Men,BRONZE,1
Guatemala,Men,SILVER,1
Peru,Men,GOLD,1
Grenada,Men,GOLD,1
Grenada,Men,BRONZE,1
Greece,Open,SILVER,1
Switzerland,Mixed,GOLD,1
Switzerland,Mixed,SILVER,1
Greece,Open,GOLD,1
Ghana,Men,SILVER,1
Germany,Mixed,SILVER,1
Germany,Mixed,BRONZE,1
Georgia,Women,BRONZE,1
Gabon,Men,SILVER,1
Sri Lanka,Women,SILVER,1
Hungary,Mixed,SILVER,1
Slovakia,Women,BRONZE,1
Hungary,Open,BRONZE,1
Italy,Mixed,GOLD,1
Italy,Mixed,BRONZE,1
Israel,Women,SILVER,1
Israel,Women,GOLD,1
Slovenia,Mixed,GOLD,1
Slovenia,Open,BRONZE,1
Israel,Mixed,BRONZE,1
Ireland,Open,BRONZE,1
Iraq,Men,BRONZE,1
Iran,Women,BRONZE,1
Indonesia,Mixed,SILVER,1
Indonesia,Mixed,GOLD,1
Independent Olympic Athletes,Women,SILVER,1
South Korea,Mixed,GOLD,1
South Korea,Open,SILVER,1
Independent Olympic Athletes,Women,BRONZE,1
Independent Olympic Athletes,Men,GOLD,1
Iceland,Women,BRONZE,1
Iceland,Men,BRONZE,1
Spain,Mixed,GOLD,1
Hungary,Open,SILVER,1
Spain,Open,GOLD,1
Hungary,Open,GOLD,1
Kyrgyz Republic,Women,SILVER,1
